製品名,カテゴリ,地域,販売数量,売上金額,取扱店舗数,月,販売チャネル,販促,在庫数
ドリンク1,炭酸,東京,10,120,5,2025年9月,オンライン,あり,100
ドリンク2,お茶,大阪,20,240,6,2025年9月,小売,なし,99
ドリンク3,ジュース,名古屋,30,360,7,2025年9月,自販機,あり,98
ドリンク4,水,福岡,40,480,8,2025年9月,オンライン,なし,97
ドリンク5,エナジー,札幌,50,600,9,2025年9月,小売,あり,96
ドリンク6,炭酸,仙台,60,720,5,2025年9月,自販機,なし,95
ドリンク7,お茶,東京,70,840,6,2025年9月,オンライン,あり,94
ドリンク8,ジュース,大阪,80,960,7,2025年9月,小売,なし,93
ドリンク9,水,名古屋,90,1080,8,2025年9月,自販機,あり,92
ドリンク10,エナジー,福岡,100,1200,9,2025年9月,オンライン,なし,91
ドリンク11,炭酸,札幌,110,1320,5,2025年9月,小売,あり,90
ドリンク12,お茶,仙台,120,1440,6,2025年9月,自販機,なし,89
ドリンク13,ジュース,東京,130,1560,7,2025年9月,オンライン,あり,88
ドリンク14,水,大阪,140,1680,8,2025年9月,小売,なし,87
ドリンク15,エナジー,名古屋,150,1800,9,2025年9月,自販機,あり,86
ドリンク16,炭酸,福岡,160,1920,5,2025年9月,オンライン,なし,85
ドリンク17,お茶,札幌,170,2040,6,2025年9月,小売,あり,84
ドリンク18,ジュース,仙台,180,2160,7,2025年9月,自販機,なし,83
ドリンク19,水,東京,190,2280,8,2025年9月,オンライン,あり,82
ドリンク20,エナジー,大阪,200,2400,9,2025年9月,小売,なし,81
ドリンク21,炭酸,名古屋,210,2520,5,2025年9月,自販機,あり,80
ドリンク22,お茶,福岡,220,2640,6,2025年9月,オンライン,なし,79
ドリンク23,ジュース,札幌,230,2760,7,2025年9月,小売,あり,78
ドリンク24,水,仙台,240,2880,8,2025年9月,自販機,なし,77
ドリンク25,エナジー,東京,250,3000,9,2025年9月,オンライン,あり,76
ドリンク26,炭酸,大阪,260,3120,5,2025年9月,小売,なし,75
ドリンク27,お茶,名古屋,270,3240,6,2025年9月,自販機,あり,74
ドリンク28,ジュース,福岡,280,3360,7,2025年9月,オンライン,なし,73
ドリンク29,水,札幌,290,3480,8,2025年9月,小売,あり,72
ドリンク30,エナジー,仙台,300,3600,9,2025年9月,自販機,なし,71
